iter	Passed	Remaining
468	740	838
469	743	837
470	744	836
471	745	834
472	746	831
473	747	829
474	748	826
475	748	824
476	749	821
477	750	819
478	750	816
479	751	814
480	752	811
481	752	808
482	753	806
483	753	803
484	754	801
485	755	798
486	755	796
487	756	793
488	757	791
489	758	789
490	758	786
491	759	784
492	760	782
493	761	779
494	762	777
495	762	775
496	763	772
497	764	770
498	765	768
499	766	766
500	766	763
501	767	761
502	767	758
503	768	756
504	769	754
505	770	751
506	770	749
507	771	747
508	772	744
509	773	742
510	773	740
511	774	738
512	775	736
513	776	734
514	778	733
515	779	731
516	780	728
517	781	727
518	782	725
519	783	722
520	783	720
521	784	718
522	785	716
523	787	715
524	788	713
525	789	711
526	790	709
527	791	707
528	792	705
529	793	703
530	793	701
531	794	698
532	795	696
533	796	694
534	797	692
535	799	692
536	800	690
537	801	687
538	801	685
539	802	683
540	803	681
541	804	679
542	804	677
543	805	675
544	806	673
545	806	670
546	807	668
547	808	666
548	808	664
549	809	662
550	810	660
551	811	658
552	812	656
553	813	654
554	813	652
555	814	650
556	815	648
557	816	646
558	817	644
559	817	642
560	818	640
561	819	638
562	820	636
563	820	634
564	821	632
565	822	630
566	822	628
567	823	626
568	824	624
569	824	622
570	825	620
571	827	619
572	828	617
573	830	616
574	831	614
575	832	612
576	833	610
577	834	608
578	834	606
579	835	604
580	836	602
581	836	601
582	837	599
583	838	597
584	839	595
585	839	593
586	840	591
587	841	589
588	841	587
589	842	585
590	843	583
591	844	582
592	845	580
593	846	578
594	847	576
595	847	574
596	848	572
597	849	570
598	850	569
599	850	567
600	851	565
601	852	563
602	852	561
603	853	559
604	854	557
605	854	555
606	855	553
607	856	551
608	856	550
609	857	548
610	858	546
611	858	544
612	859	542
613	860	540
614	860	538
615	861	537
616	862	535
617	863	533
618	864	531
619	864	530
620	865	528
621	866	526
622	867	524
623	868	523
624	868	521
625	869	519
626	870	517
627	870	515
628	871	514
629	872	512
630	872	510
631	873	508
632	874	506
633	874	505
634	875	503
635	877	501
636	877	500
637	878	498
638	879	496
639	880	495
640	880	493
641	881	491
642	882	489
643	883	488
644	883	486
645	884	484
646	885	483
647	886	481
648	886	479
649	887	477
650	888	476
651	889	474
652	889	472
653	890	471
654	891	469
655	891	467
656	892	465
657	893	464
658	893	462
659	894	460
660	895	459
661	896	457
662	897	456
663	897	454
664	898	452
665	899	450
666	899	449
667	900	447
668	901	445
669	902	444
670	902	442
671	903	440
672	904	439
673	904	437
674	905	435
675	906	434
676	906	432
677	907	431
678	908	429
679	908	427
680	909	426
681	910	424
682	910	422
683	911	421
684	912	419
685	913	417
686	914	416
687	915	415
688	916	413
689	916	411
690	917	410
691	917	408
692	918	406
693	919	405
694	920	403
695	920	402
696	921	400
697	922	399
698	922	397
699	923	395
700	924	394
701	924	392
702	925	391
703	926	389
704	927	387
705	927	386
706	928	384
707	929	383
708	930	381
709	930	380
710	931	378
711	932	377
712	932	375
713	936	375
714	936	373
715	937	371
716	938	370
717	939	368
718	939	367
719	940	365
720	941	364
721	941	362
722	942	361
723	943	359
724	943	358
725	944	356
726	945	354
727	946	353
728	946	352
729	947	350
730	949	349
731	950	347
732	950	346
733	951	344
734	952	343
735	953	341
736	953	340
737	954	338
738	955	337
739	956	335
740	956	334
741	957	332
742	958	331
743	959	330
744	959	328
745	960	327
746	961	325
747	962	324
748	963	322
749	964	321
750	965	320
751	966	318
752	967	317
753	968	315
754	969	314
755	970	313
756	971	311
757	972	310
758	972	308
759	973	307
760	974	306
761	975	304
762	975	303
763	976	301
764	977	300
765	977	298
766	978	297
767	979	295
768	979	294
769	980	292
770	981	291
771	981	289
772	983	288
773	983	287
774	984	285
775	984	284
776	985	282
777	986	281
778	986	279
779	987	278
780	988	277
781	988	275
782	989	274
783	990	272
784	990	271
785	991	269
786	992	268
787	992	267
788	993	265
789	994	264
790	995	262
791	995	261
792	996	260
793	997	258
794	999	257
795	1000	256
796	1008	256
797	1009	255
798	1010	254
799	1011	252
800	1012	251
801	1013	250
802	1013	248
803	1014	247
804	1015	245
805	1016	244
806	1017	243
807	1018	241
808	1019	240
809	1019	239
810	1020	237
811	1021	236
812	1022	235
813	1023	233
814	1024	232
815	1025	231
816	1025	229
817	1026	228
818	1027	227
819	1027	225
820	1028	224
821	1029	222
822	1029	221
823	1030	220
824	1031	218
825	1032	217
826	1032	216
827	1033	214
828	1034	213
829	1035	212
830	1036	210
831	1037	209
832	1037	208
833	1038	206
834	1039	205
835	1040	204
836	1040	202
837	1041	201
838	1042	199
839	1043	198
840	1043	197
841	1044	196
842	1045	194
843	1045	193
844	1046	191
845	1048	190
846	1049	189
847	1049	188
848	1050	186
849	1051	185
850	1052	184
851	1053	182
852	1054	181
853	1055	180
854	1055	179
855	1056	177
856	1057	176
857	1058	175
858	1059	173
859	1060	172
860	1060	171
861	1061	169
862	1062	168
863	1063	167
864	1064	166
865	1064	164
866	1065	163
867	1066	162
868	1067	160
869	1068	159
870	1070	158
871	1071	157
872	1072	155
873	1073	154
874	1074	153
875	1075	152
876	1076	151
877	1077	149
878	1078	148
879	1079	147
880	1080	145
881	1081	144
882	1082	143
883	1083	142
884	1084	140
885	1085	139
886	1086	138
887	1087	137
888	1088	135
889	1089	134
890	1090	133
891	1091	132
892	1092	130
893	1092	129
894	1093	128
895	1094	127
896	1095	125
897	1096	124
898	1097	123
899	1098	122
900	1098	120
901	1099	119
902	1100	118
903	1101	116
904	1101	115
905	1102	114
906	1103	113
907	1104	111
908	1105	110
909	1105	109
910	1106	108
911	1107	106
912	1108	105
913	1108	104
914	1109	103
915	1110	101
916	1110	100
917	1111	99
918	1112	98
919	1113	96
920	1113	95
