iter	RMSE
124	4.990675223
125	4.983911638
126	4.978364487
127	4.974704553
128	4.967352229
129	4.962448773
130	4.954367397
131	4.94625883
132	4.939189733
133	4.929384161
134	4.925518457
135	4.922109275
136	4.917133655
137	4.912186617
138	4.905886943
139	4.901313364
140	4.894631055
141	4.888361757
142	4.884212928
143	4.877548598
144	4.871541764
145	4.866691593
146	4.860191858
147	4.854653148
148	4.850686461
149	4.844232634
150	4.839725748
151	4.835950272
152	4.828731345
153	4.826091342
154	4.821438697
155	4.814585681
156	4.811582109
157	4.806515066
158	4.799578118
159	4.79198894
160	4.78924235
161	4.781717579
162	4.776560114
163	4.774754627
164	4.76776792
165	4.762593618
166	4.760650529
167	4.75384278
168	4.751615908
169	4.748583493
170	4.742452448
171	4.735331113
172	4.733065133
173	4.726621523
174	4.722027169
175	4.717812914
176	4.713716264
177	4.705291143
178	4.701103022
179	4.694604147
180	4.691203189
181	4.688560147
182	4.684504585
183	4.680412483
184	4.67791557
185	4.673921147
186	4.672318281
187	4.670105406
188	4.666553082
189	4.661312984
190	4.657630615
191	4.653848022
192	4.648290827
193	4.640402642
194	4.638231223
195	4.636815753
196	4.633483682
197	4.629248079
198	4.62610211
199	4.622268583
200	4.61948936
201	4.615969578
202	4.61002128
203	4.605121203
204	4.602242093
205	4.599241894
206	4.595045586
207	4.5887661
208	4.585563207
209	4.579003651
210	4.576812179
211	4.571846192
212	4.570421075
213	4.567512949
214	4.564169582
215	4.559092491
216	4.554614411
217	4.553178958
218	4.552246104
219	4.549100519
220	4.541665001
221	4.534882017
222	4.52934547
223	4.52790159
224	4.52355757
225	4.520096551
226	4.517128026
227	4.511622531
228	4.50667206
229	4.501866004
230	4.49977816
231	4.497455542
232	4.496954202
233	4.493046174
234	4.487769678
235	4.484439828
236	4.479391486
237	4.477833513
238	4.472607493
239	4.47003399
240	4.465410685
241	4.46064515
242	4.456056143
243	4.450476166
244	4.44684188
245	4.446395297
246	4.442407749
247	4.439612734
248	4.43799011
249	4.431680285
250	4.426878233
251	4.424467605
252	4.419614005
253	4.418501277
254	4.41356299
255	4.412377864
256	4.406415183
257	4.403858826
258	4.402756728
259	4.397340399
260	4.394574098
261	4.392182508
262	4.390068581
263	4.386333245
264	4.381889354
265	4.377573139
266	4.37557139
267	4.372690861
268	4.37023585
269	4.365404501
270	4.359825869
271	4.35596611
272	4.350832478
273	4.348084754
274	4.345109987
275	4.342051059
276	4.334555938
277	4.333955819
278	4.329594817
279	4.326126458
280	4.325123179
281	4.321332004
282	4.317293827
283	4.311438306
284	4.310997288
285	4.30909195
286	4.303064676
287	4.302277087
288	4.300481189
289	4.297255056
290	4.296779699
291	4.295659638
292	4.290289272
293	4.285931447
294	4.281417827
295	4.27789894
296	4.2743847
297	4.269465729
298	4.266160278
299	4.263407237
300	4.259351697
301	4.254994105
302	4.250095673
303	4.244875763
304	4.242749559
305	4.240539619
306	4.235932665
307	4.23387349
308	4.231990329
309	4.229093313
310	4.221981894
311	4.221430411
312	4.21476571
313	4.213941226
314	4.207673626
315	4.200529247
316	4.19527171
317	4.193810242
318	4.191677108
319	4.187966593
320	4.185382496
321	4.181384436
322	4.178138976
323	4.175431479
324	4.172555155
325	4.170307783
326	4.167368717
327	4.166587653
328	4.163154649
329	4.16004002
330	4.153858486
331	4.151703804
332	4.148542524
333	4.147681073
334	4.1440232
335	4.142134961
336	4.138568988
337	4.136607187
338	4.130605161
339	4.126917411
340	4.124027181
341	4.117244186
342	4.113966054
343	4.110740164
344	4.106425761
345	4.104130019
346	4.102446749
347	4.101162218
348	4.09794592
349	4.096730843
350	4.093681243
351	4.091269277
352	4.089324766
353	4.084411764
354	4.083544884
355	4.081500909
356	4.079009235
357	4.072560711
358	4.069505229
359	4.063866682
360	4.062137687
361	4.059590172
362	4.053944054
363	4.050943353
364	4.049639645
365	4.042689437
366	4.039733741
367	4.03740295
368	4.034406519
369	4.030441344
370	4.026663518
371	4.024180252
372	4.021003091
373	4.015869887
374	4.013433666
375	4.010630664
376	4.008295184
377	4.00531313
378	4.002655266
379	3.999001884
380	3.996295716
381	3.991897578
382	3.990244354
383	3.988396514
384	3.986162951
385	3.980472522
386	3.976781423
387	3.974670332
388	3.974447981
389	3.972583241
390	3.969000501
391	3.965426541
392	3.962075965
393	3.961460544
394	3.959127622
395	3.956829818
396	3.954287243
397	3.949182868
398	3.946270099
399	3.941879348
400	3.938544924
401	3.933313034
402	3.931149232
403	3.928612345
404	3.928116503
405	3.925551627
406	3.924722757
407	3.923850203
408	3.923555111
409	3.91883607
410	3.917208551
411	3.916770388
412	3.911259228
413	3.908195525
414	3.90618083
415	3.903256415
416	3.903001349
417	3.901327457
418	3.896327978
419	3.893858681
420	3.891634629
421	3.889767645
422	3.886152193
423	3.881398251
424	3.880497934
425	3.87685916
426	3.873613426
427	3.87004512
428	3.866724541
429	3.864653714
430	3.861790102
431	3.861176518
432	3.858272904
433	3.856542025
434	3.855282253
435	3.849866132
436	3.847321396
437	3.846346112
438	3.843741973
439	3.8390349
440	3.837662165
441	3.834256843
442	3.831626825
443	3.83085152
444	3.825525543
445	3.820864156
446	3.81902216
447	3.815547185
448	3.814015274
449	3.813035261
450	3.810797312
451	3.809565111
452	3.805492865
453	3.802225378
454	3.800325776
455	3.795841626
456	3.794916394
457	3.790367875
458	3.786370358
459	3.785982963
460	3.783658209
461	3.781975222
462	3.77951387
463	3.778952449
464	3.77611852
465	3.77254914
466	3.770802973
467	3.769821642
468	3.76577572
469	3.763999561
470	3.759667889
471	3.758073521
472	3.756631453
473	3.754385341
474	3.751425188
475	3.749434781
476	3.746841833
477	3.744070039
478	3.742905377
479	3.739791301
480	3.736146174
481	3.735737023
482	3.735022466
483	3.733684335
484	3.732217909
485	3.730336878
486	3.725395696
487	3.722931982
488	3.721283528
489	3.717710886
490	3.716906166
491	3.71636456
492	3.715202812
493	3.71128442
494	3.709884916
495	3.706230478
496	3.701503561
497	3.697628097
498	3.69319067
499	3.690900484
500	3.689393684
501	3.688770397
502	3.684569848
503	3.68281251
504	3.681908722
505	3.680332727
506	3.678651494
507	3.674437447
508	3.674066401
509	3.673280879
510	3.669931396
511	3.667951077
512	3.665789516
513	3.665451228
514	3.662781732
515	3.659368225
516	3.656400587
517	3.655258605
518	3.650587608
519	3.648962897
520	3.646375245
521	3.642186865
522	3.640087759
523	3.639064125
524	3.638244216
525	3.636977302
526	3.633835577
527	3.629478931
528	3.628161948
529	3.625082889
530	3.619033315
531	3.616634631
532	3.6161641
533	3.612961257
534	3.610248014
535	3.607837642
536	3.60541382
537	3.601958578
538	3.600481314
539	3.59990244
540	3.598047681
541	3.59712419
542	3.595093166
543	3.591388609
544	3.589222493
545	3.586700991
546	3.584771928
547	3.583382658
548	3.581920251
549	3.579213888
550	3.57697631
551	3.574075948
552	3.571286289
553	3.570377683
554	3.565728221
555	3.563188236
556	3.561091218
557	3.559121012
558	3.555237116
559	3.554622097
560	3.552954287
561	3.552368872
562	3.548392595
563	3.547167654
564	3.546329464
565	3.542981411
566	3.540956384
567	3.539682396
568	3.535538406
569	3.532865553
570	3.530902965
571	3.529249083
572	3.528898078
573	3.528025983
574	3.526786877
575	3.526563485
576	3.523745831
577	3.522886081
578	3.522119955
579	3.519339206
580	3.516578045
581	3.515791147
582	3.514405628
583	3.512908559
584	3.512133308
585	3.508592062
586	3.505544699
587	3.504174028
588	3.501394687
589	3.501051741
590	3.499111207
591	3.495525099
592	3.492670849
593	3.488567122
594	3.487491128
595	3.485650086
596	3.48446327
597	3.482262811
598	3.47959952
599	3.476453542
600	3.4711398
601	3.467711416
602	3.466292965
603	3.464894644
604	3.461694636
605	3.458940144
606	3.455952807
607	3.452093373
608	3.451190164
609	3.4483113
610	3.446247427
611	3.444333755
612	3.442247541
613	3.439772444
614	3.436986204
615	3.433872938
616	3.432652134
617	3.429955956
618	3.428565741
619	3.426793059
620	3.426174831
621	3.425939815
622	3.425508383
623	3.424364752
624	3.422048895
625	3.42101685
626	3.420797422
627	3.418819006
628	3.416855427
629	3.415549766
630	3.412949744
631	3.40934715
632	3.407718213
633	3.405862495
634	3.405058117
635	3.40395623
636	3.400564664
637	3.398711584
638	3.397900821
639	3.394427628
640	3.392095896
641	3.390521901
642	3.388851934
643	3.386755043
644	3.386004664
645	3.383691297
646	3.380682919
647	3.380414123
648	3.377183148
649	3.376033552
650	3.375641042
651	3.372881381
652	3.37106881
653	3.370282177
654	3.368368234
655	3.364772985
656	3.364258764
657	3.360620823
658	3.360408148
659	3.35713541
660	3.354624682
661	3.349940201
662	3.347518308
663	3.342946789
664	3.34268986
665	3.339310875
666	3.3389662
667	3.336199638
668	3.332097169
669	3.329031919
670	3.327814816
671	3.325471388
672	3.32371184
673	3.321513477
674	3.320330575
675	3.3191661
676	3.316271343
677	3.313618387
678	3.312684914
679	3.310556447
680	3.308788247
681	3.305657234
682	3.305562065
683	3.304932578
684	3.300239976
685	3.298144218
686	3.294980307
687	3.293717202
688	3.292417962
689	3.292351239
690	3.290078791
691	3.288081626
692	3.287768946
693	3.285210275
694	3.283008894
695	3.281300245
696	3.27990403
697	3.279637744
698	3.276816889
699	3.276653113
700	3.274795255
701	3.272308854
702	3.270980595
703	3.27052865
704	3.270083082
705	3.268460434
706	3.265806086
707	3.264614351
708	3.26217379
709	3.260099992
710	3.258564462
711	3.25504546
712	3.252032486
713	3.248250328
714	3.247778539
715	3.244795929
716	3.240323345
717	3.238883206
718	3.236006252
719	3.233420671
720	3.232322145
721	3.231204925
722	3.230645223
723	3.229826925
724	3.228708533
725	3.225512536
726	3.223925563
727	3.221867053
728	3.219780403
729	3.216620773
730	3.214565154
731	3.213256526
732	3.211509397
733	3.210023152
734	3.208760515
735	3.204565949
736	3.202898758
737	3.201327357
738	3.19853291
739	3.195357408
740	3.191150172
741	3.190416444
742	3.188591457
743	3.186265684
744	3.183909963
745	3.182162165
746	3.179774974
747	3.179658301
748	3.179436398
749	3.179323651
750	3.177757646
751	3.17637016
752	3.175368405
753	3.173900782
754	3.169687986
755	3.168656758
756	3.165429065
757	3.163395018
758	3.161366264
759	3.160062428
760	3.158878377
761	3.156520299
762	3.155976095
763	3.155574707
764	3.154114703
765	3.152686104
766	3.150295882
767	3.148652219
768	3.147166507
769	3.144417429
770	3.144053645
771	3.141883073
772	3.141768205
773	3.140470203
774	3.138173826
775	3.136538453
776	3.135115977
777	3.134057138
778	3.133116866
779	3.132621628
780	3.132189942
781	3.130730517
782	3.126859511
783	3.124515363
784	3.122853414
785	3.122091088
786	3.119434068
787	3.119210846
788	3.117719183
789	3.117561032
790	3.114321564
791	3.112824085
792	3.1116786
793	3.110431455
794	3.107157981
795	3.106268902
796	3.104627681
797	3.103737264
798	3.102692731
799	3.100741079
800	3.100016614
801	3.099273969
802	3.097707352
803	3.096362664
804	3.095657909
805	3.094377288
806	3.092004191
807	3.08910086
808	3.088159415
809	3.087102252
810	3.086829639
811	3.085359444
812	3.085239296
813	3.083977319
814	3.081583275
815	3.079387417
816	3.077937797
817	3.076761657
818	3.075038952
819	3.072653177
820	3.071001252
821	3.068140021
822	3.067846881
823	3.065925864
824	3.062927277
825	3.061976669
826	3.061575311
827	3.060451166
828	3.058834725
829	3.055971286
830	3.054434283
831	3.053774864
832	3.053594705
833	3.050028305
834	3.047500036
835	3.047306532
836	3.047108491
837	3.045727584
838	3.041605596
839	3.040707251
840	3.039952585
841	3.039700056
842	3.038564774
843	3.038496294
844	3.037830477
845	3.035160372
846	3.034242764
847	3.031770869
848	3.031216119
849	3.027824611
850	3.026823968
851	3.026723588
852	3.023929564
853	3.023546396
854	3.022190288
855	3.020908579
856	3.019804385
857	3.019326484
858	3.016763532
859	3.013369824
860	3.012966349
861	3.011126489
862	3.010335651
863	3.007947037
864	3.00669999
865	3.00432256
866	3.002244072
867	3.00196913
868	3.000199072
869	2.997476186
870	2.996383488
871	2.99541242
872	2.993746444
873	2.993326916
874	2.993043598
875	2.992014199
876	2.990067388
877	2.988990018
878	2.986583726
879	2.984390386
880	2.983485099
881	2.981574833
882	2.980792899
883	2.980727454
884	2.978855339
885	2.978763856
886	2.976889522
887	2.975664847
888	2.975196727
889	2.973430774
890	2.973148141
891	2.972864143
892	2.971552568
893	2.971219106
894	2.968359889
895	2.968253164
896	2.967151339
897	2.964344978
898	2.963521136
899	2.962334914
900	2.960110235
901	2.959318161
902	2.959209005
903	2.958149681
904	2.957404033
905	2.955351324
906	2.952929158
907	2.952077811
908	2.950549862
909	2.948793493
910	2.946194524
911	2.943355215
912	2.941579786
913	2.940088485
914	2.939916647
915	2.93771594
916	2.935965125
917	2.933087319
918	2.93178209
919	2.929497164
920	2.928634861
921	2.926323146
922	2.925741099
923	2.925641961
924	2.925341454
925	2.924687664
926	2.923199021
927	2.92174824
928	2.920361858
929	2.916773287
930	2.913754189
931	2.913673141
932	2.911675228
933	2.910632048
934	2.910485057
935	2.910379334
936	2.909419239
937	2.908716981
938	2.90607044
939	2.90490442
940	2.90441836
941	2.902776847
942	2.90257517
943	2.90222598
944	2.901349762
945	2.900135452
946	2.89871785
947	2.898563696
948	2.898432069
949	2.896911926
950	2.896402662
951	2.895735384
952	2.894763102
953	2.892471247
954	2.890461297
955	2.89004839
956	2.888547636
957	2.887551436
958	2.886894731
959	2.88558526
960	2.885389343
961	2.884814357
962	2.884679888
963	2.884042433
964	2.882998611
965	2.881858876
966	2.879322901
967	2.878174164
968	2.877151679
969	2.87593365
970	2.875336304
971	2.874392167
972	2.872501634
973	2.871230421
974	2.869721818
975	2.868551784
976	2.868294648
977	2.867774123
978	2.867611405
979	2.865941484
980	2.864559855
981	2.861718025
982	2.861676045
983	2.861563666
984	2.858025421
985	2.857026632
986	2.856965747
987	2.854577711
988	2.85291497
989	2.852548184
990	2.850961468
991	2.85079173
992	2.848567343
993	2.847525124
994	2.84539391
995	2.84437852
996	2.843801168
997	2.842637144
998	2.840856626
999	2.839708289
